#{"t_start": 1741531654.3055704, "env_id": "None"}
r,l,t
-1.0,49,0.583198
-1.0,49,0.589628
-1.0,49,1.304776
-1.0,49,1.719664
-1.0,49,2.148202
-1.0,49,2.563671
-1.0,49,2.983642
-1.0,49,3.398079
-1.0,49,3.840543
-1.0,49,4.258449
-1.0,49,4.686508
-1.0,49,5.097435
-1.0,49,5.521308
-1.0,49,5.931407
-1.0,49,6.346186
-1.0,49,6.756295
-1.0,49,7.239545
-1.0,49,7.893502
-1.0,49,8.396135
-1.0,49,8.82795
-1.0,49,9.49657
-1.0,49,9.924847
-1.0,49,10.392422
-1.0,49,10.792768
-1.0,49,11.202363
-1.0,49,11.615249
-1.0,49,12.039691
-1.0,49,12.454302
-1.0,49,12.886595
-1.0,49,13.303
-1.0,49,13.72246
-1.0,49,14.135562
-1.0,49,14.564827
-1.0,49,14.98021
-1.0,49,15.400417
-1.0,49,15.81585
-1.0,49,16.255389
-1.0,49,16.668916
-1.0,49,17.088028
-1.0,49,17.501852
-1.0,49,17.934439
-1.0,49,18.350314
-1.0,49,18.773534
-1.0,50,19.199258
-1.0,49,19.635461
-1.0,49,20.052458
-1.0,49,20.46782
-1.0,49,20.86575
-1.0,49,21.285901
-1.0,49,21.687183
-1.0,49,22.085442
-1.0,49,22.50585
-1.0,49,22.930323
-1.0,49,23.350891
-1.0,49,23.766531
-1.0,49,24.183451
-1.0,50,24.599082
-1.0,49,25.001202
-1.0,50,25.455696
-1.0,49,25.882891
-1.0,49,26.308542
-1.0,49,26.728163
-1.0,49,27.143371
-1.0,49,27.562102
-1.0,49,27.987802
-1.0,49,28.403322
-1.0,49,28.813996
-1.0,49,29.229016
-1.0,49,29.644345
-1.0,50,30.072708
-1.0,49,30.487298
-1.0,49,30.907442
-1.0,49,31.327163
-1.0,49,31.742336
-1.0,49,32.153371
-1.0,49,32.572829
-1.0,49,32.994956
-1.0,50,33.425834
-1.0,49,33.869976
-1.0,49,34.292153
-1.0,49,34.719359
-1.0,49,35.139701
-1.0,50,35.567749
-1.0,49,35.989777
-1.0,49,36.419447
-1.0,49,36.841115
-1.0,49,37.259012
-1.0,49,37.683127
-1.0,49,38.11262
-1.0,49,38.539316
-1.0,49,38.954493
-1.0,49,39.3936
-1.0,49,39.815275
-1.0,49,40.23921
-1.0,49,40.658007
-1.0,49,41.07801
-1.0,49,41.502699
-1.0,49,41.925729
-1.0,49,42.341849
-1.0,49,42.762393
-1.0,49,43.21138
-1.0,49,43.634391
-1.0,49,44.050641
-1.0,49,44.469003
-1.0,49,44.893528
-1.0,49,45.3091
-1.0,49,45.735977
-1.0,49,46.151467
-1.0,49,46.577428
-1.0,49,46.993853
-1.0,49,47.414912
-1.0,49,47.840147
-1.0,49,48.266966
-1.0,49,48.683502
-1.0,49,49.106095
-1.0,49,49.522465
-1.0,49,49.955479
-1.0,49,50.372043
-1.0,49,50.795255
-1.0,49,51.211214
-1.0,49,51.646235
-1.0,49,52.059508
-1.0,49,52.47475
-1.0,49,52.887007
-1.0,49,53.31824
-1.0,49,53.733049
-1.0,49,54.161541
-1.0,49,54.576554
-1.0,49,55.008046
-1.0,49,55.424322
-1.0,49,55.846659
-1.0,49,56.263255
-1.0,49,56.694366
